$ npm run lint -- --format=compact | grep no-unused-vars
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/languageSelector.tsx: line 173, col 16, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/languageSelector.tsx: line 196, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/languagesUtils.tsx: line 106, col 12, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/languagesUtils.tsx: line 57, col 14, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/languagesUtils.tsx: line 92, col 12, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/languages/regionSelector.tsx: line 80, col 16, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/library/assetPublicButton.tsx: line 2, col 8, Warning - 'bem' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/modalForms/languageForm.es6: line 131, col 11, Warning - 'hasErrors' is assigned a value but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/permissions/copyTeamPermissions.component.tsx: line 4, col 14, Warning - 'SingleValue' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/permissions/transferProjects/transferProjectsInvite.component.tsx: line 44, col 10, Warning - 'searchParams' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/permissions/utils.tests.ts: line 55, col 7, Warning - 'GENERAL_PERM_BY_BOTH_AND' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/permissions/utils.tests.ts: line 72, col 7, Warning - 'GENERAL_PERM_BY_BOTH_OR' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/processing/nlpUsageLimitBlockModal/nlpUsageLimitBlockModal.component.tsx: line 1, col 8, Warning - 'cx' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/processing/routes.utils.ts: line 4, col 34, Warning - 'useNavigate' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/processing/sidebar/sidebarSubmissionData.tsx: line 4, col 14, Warning - 'AssetContent' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/processing/transxAutomaticButton.tsx: line 98, col 14, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/processing/transxSelector.tsx: line 65, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/reports/customReportEditor.component.tsx: line 67, col 24, Warning - '_response' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/reports/reports.tsx: line 30, col 3, Warning - 'CHART_STYLES' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/submissions/submissionDataTable.tsx: line 25, col 3, Warning - 'QuestionTypeName' is defined but never used. (@typescript-eslint/no-unused-vars)
